Hero,Anti-Mage,Axe,Bane,Bloodseeker,Crystal Maiden,Drow Ranger,Earthshaker,Juggernaut,Mirana,Morphling,Shadow Fiend,Phantom Lancer,Puck,Pudge,Razor,Sand King,Storm Spirit,Sven,Tiny,Vengeful Spirit,Windranger,Zeus,Kunkka,Lina,Lion,Shadow Shaman,Slardar,Tidehunter,Witch Doctor,Lich,Riki,Enigma,Tinker,Sniper,Necrophos,Warlock,Beastmaster,Queen of Pain,Venomancer,Faceless Void,Wraith King,Death Prophet,Phantom Assassin,Pugna,Templar Assassin,Viper,Luna,Dragon Knight,Dazzle,Clockwerk,Leshrac,Nature's Prophet,Lifestealer,Dark Seer,Clinkz,Omniknight,Enchantress,Huskar,Night Stalker,Broodmother,Bounty Hunter,Weaver,Jakiro,Batrider,Chen,Spectre,Ancient Apparition,Doom,Ursa,Spirit Breaker,Gyrocopter,Alchemist,Invoker,Silencer,Outworld Destroyer,Lycan,Brewmaster,Shadow Demon,Lone Druid,Chaos Knight,Meepo,Treant Protector,Ogre Magi,Undying,Rubick,Disruptor,Nyx Assassin,Naga Siren,Keeper of the Light,Io,Visage,Slark,Medusa,Troll Warlord,Centaur Warrunner,Magnus,Timbersaw,Bristleback,Tusk,Skywrath Mage,Abaddon,Elder Titan,Legion Commander,Techies,Ember Spirit,Earth Spirit,Underlord,Terrorblade,Phoenix,Oracle,Winter Wyvern,Arc Warden,Monkey King,Dark Willow,Pangolier,Grimstroke,Hoodwink,Void Spirit,Snapfire,Mars,Ringmaster,Dawnbreaker,Marci,Primal Beast,Muerta,Kez
Anti-Mage,1.0000002,0.5240999,0.4197661,0.94200635,0.3384242,0.9192933,0.54232186,0.9489904,0.46254838,0.92373526,0.71707803,0.9393453,0.6026547,0.63176817,0.7532764,0.5529168,0.6116176,0.90677536,0.5677695,0.4502657,0.59898835,0.4859486,0.5601451,0.6458934,0.39184156,0.34895954,0.6286199,0.51397604,0.4405651,0.24808352,0.690246,0.48409435,0.4321016,0.67128354,0.66762334,0.2563765,0.5102952,0.6496057,0.572007,0.8921914,0.76251024,0.51437896,0.8974366,0.3554514,0.80907774,0.65335906,0.8776586,0.6927677,0.38952607,0.43763763,0.5672937,0.4993912,0.9331463,0.52055675,0.72808456,0.5467546,0.33453354,0.7667278,0.5327215,0.6709724,0.54020447,0.72233933,0.3089256,0.4567048,0.33330062,0.83903944,0.17599276,0.60477674,0.9416429,0.405454,0.7468595,0.887425,0.5662796,0.34939954,0.7225818,0.66596484,0.4775587,0.3829859,0.76549405,0.7238264,0.87145174,0.27375364,0.45664757,0.39333662,0.44928613,0.34116468,0.53756386,0.67846006,0.44259143,0.5310991,0.5656963,0.8840342,0.8580768,0.970651,0.50458694,0.5940662,0.610859,0.5884059,0.356341,0.41468602,0.6347368,0.4331364,0.53243285,0.46838787,0.6789142,0.446923,0.5877231,0.88257676,0.3367076,0.33437544,0.5558765,0.7873527,0.8087306,0.38013163,0.5913738,0.33877432,0.45390454,0.6985508,0.39251885,0.5904127,0.3273698,0.50234437,0.5827164,0.4954846,0.4398724,0.8236722
Axe,0.5240999,0.99999976,0.44525748,0.5353831,0.42167908,0.42384806,0.6770176,0.4655298,0.33272213,0.42506143,0.47206688,0.43647656,0.5273985,0.6341908,0.584258,0.8279873,0.56112343,0.372858,0.42560467,0.5250982,0.5384159,0.42306903,0.7272231,0.4291726,0.4075072,0.41351768,0.86530125,0.9449516,0.49388295,0.38642335,0.5015749,0.74385184,0.38737297,0.41304836,0.6775767,0.38343492,0.9170344,0.6151254,0.7103207,0.46183613,0.7231973,0.5798061,0.43768376,0.42010915,0.4629359,0.67685115,0.39081222,0.6866422,0.51348776,0.47766125,0.4462207,0.3415869,0.423404,0.83549577,0.41876957,0.6345823,0.38651446,0.69325143,0.91302913,0.718083,0.6630997,0.3429969,0.43921465,0.3372679,0.38148713,0.44770634,0.34426168,0.87732,0.4231611,0.73370355,0.3042267,0.5308775,0.54607505,0.39034626,0.5982531,0.89380914,0.8663882,0.3346462,0.6946671,0.63849837,0.56656885,0.29939434,0.61597794,0.53225523,0.38302955,0.40583447,0.6216882,0.19419289,0.37592208,0.4621335,0.77121216,0.3277166,0.47098434,0.43580815,0.9001734,0.8868358,0.7989012,0.8311425,0.37803927,0.3238188,0.5864713,0.54429203,0.92903286,0.3868982,0.58225816,0.5369441,0.92980903,0.4030973,0.39848393,0.47261184,0.55312467,0.52146876,0.44276544,0.38063318,0.6714509,0.3943823,0.33157146,0.6101639,0.3262601,0.9346089,0.26295593,0.87381506,0.46123552,0.7259521,0.19184674,0.6372126
Bane,0.4197661,0.44525748,1.0000001,0.2830059,0.8788192,0.42716807,0.56598574,0.39270622,0.6438997,0.37265238,0.43331867,0.3456974,0.45647624,0.527898,0.42661586,0.50557464,0.49073058,0.46604234,0.5435504,0.90940213,0.5552128,0.5591712,0.4980411,0.43899447,0.8808097,0.8733262,0.5155912,0.4388103,0.8741367,0.8277487,0.3740106,0.50297135,0.5718701,0.48189503,0.5138962,0.8778933,0.30670336,0.51810205,0.7697125,0.37502226,0.40659013,0.41496873,0.4098061,0.6742741,0.36822268,0.4599088,0.39624608,0.43343207,0.66309816,0.6639952,0.5260658,0.6237624,0.40908816,0.4478685,0.5837979,0.46469057,0.7616041,0.5017217,0.40305853,0.30705962,0.49997523,0.5779088,0.8960712,0.56318235,0.83230484,0.32186362,0.81475484,0.34505832,0.37465906,0.45201734,0.5750567,0.3725354,0.5509849,0.8154795,0.54881686,0.33068556,0.3713605,0.8520459,0.39977282,0.3497936,0.35542384,0.68693554,0.7711181,0.69883764,0.74302334,0.8833066,0.6717266,0.2881813,0.38254908,0.77523947,0.48046082,0.34072223,0.47406,0.44106123,0.41840312,0.45546377,0.36058784,0.4401502,0.55157304,0.631886,0.56549037,0.7008891,0.34857786,0.7405314,0.5351539,0.44352558,0.40381184,0.3908448,0.7533447,0.87197506,0.8152009,0.53266346,0.39507553,0.84353286,0.41290396,0.8057312,0.78927493,0.46132097,0.5620768,0.48958558,0.7636406,0.40877134,0.5417337,0.36620772,0.45458242,0.5511836
Bloodseeker,0.94200635,0.5353831,0.2830059,0.99999994,0.23855637,0.8661895,0.42851964,0.9168238,0.31988704,0.86436725,0.6167209,0.9168743,0.527886,0.5130138,0.727144,0.5124823,0.5583997,0.7938094,0.38622662,0.32832387,0.5041784,0.35540825,0.5115232,0.51273954,0.266857,0.21384725,0.585606,0.48798904,0.3423883,0.19621706,0.6506758,0.41082942,0.29261464,0.5281242,0.63806957,0.1403231,0.5427203,0.58675313,0.52513295,0.8661553,0.75584006,0.4814439,0.84073305,0.30559555,0.71970534,0.6482574,0.8125165,0.6432265,0.26368186,0.37931708,0.45695645,0.30755678,0.8574048,0.52166116,0.59765524,0.5031344,0.26329762,0.7270744,0.5064703,0.7175012,0.52423865,0.56392634,0.18454736,0.4006811,0.24760507,0.84600604,0.04593628,0.5709211,0.8887716,0.41132563,0.5649916,0.8539391,0.47924232,0.23765533,0.6547317,0.70357853,0.45012912,0.2730581,0.77857095,0.74146026,0.8272399,0.21699819,0.37798953,0.34187466,0.3306546,0.23384432,0.46978712,0.6027676,0.32547385,0.41910714,0.59588814,0.81323606,0.8224467,0.90105766,0.44753376,0.56388724,0.6204045,0.58043224,0.27546868,0.38994688,0.4878755,0.3432748,0.5812305,0.40343902,0.6134044,0.38533184,0.60225075,0.8172043,0.2373369,0.28253484,0.44734737,0.69710577,0.67263985,0.300237,0.60284764,0.24926022,0.3348505,0.6754211,0.33775496,0.5665091,0.18937422,0.49758345,0.5048921,0.50247675,0.34773618,0.6982581
Crystal Maiden,0.3384242,0.42167908,0.8788192,0.23855637,1.0000001,0.34771654,0.4496909,0.35419875,0.63711077,0.32666197,0.39051995,0.2777704,0.36834255,0.44730258,0.30603454,0.43516442,0.42539212,0.3295374,0.39875805,0.7611902,0.4928207,0.4753571,0.40190968,0.38057542,0.7280086,0.7002334,0.39704,0.37726903,0.766521,0.8889928,0.28829086,0.49653,0.4921234,0.3592808,0.45519656,0.79323345,0.32265535,0.45806688,0.78410447,0.24960797,0.28244922,0.383976,0.25425214,0.6287063,0.29887047,0.34680092,0.32816437,0.3898472,0.5577653,0.6244075,0.37046102,0.41689244,0.3311672,0.361577,0.42911038,0.5203384,0.82452434,0.40619668,0.24795784,0.3636287,0.41740814,0.33712986,0.84201,0.47488043,0.82751703,0.18123297,0.7302223,0.3648589,0.2963904,0.41711813,0.37308526,0.3164761,0.39704975,0.82852,0.4101864,0.3134689,0.27515754,0.74482155,0.32235277,0.25432584,0.30210963,0.6764505,0.7833903,0.7659936,0.6707662,0.950373,0.55901724,0.2454554,0.28674054,0.6774248,0.41159368,0.18717787,0.44022375,0.3280561,0.3893163,0.41303352,0.42029086,0.29630616,0.4489273,0.49670216,0.50727385,0.64667547,0.386648,0.6812987,0.46803448,0.2976719,0.39322472,0.33050394,0.63894093,0.86375016,0.7162003,0.40209275,0.3135754,0.6224821,0.38025495,0.58278066,0.6291001,0.42627272,0.49204558,0.4506518,0.5848744,0.3030981,0.38590333,0.3014114,0.14752986,0.51159036
Drow Ranger,0.9192933,0.42384806,0.42716807,0.8661895,0.34771654,1.0,0.42264295,0.9291799,0.49809277,0.9291113,0.72714615,0.923103,0.6011277,0.47667202,0.66287005,0.46237066,0.57514924,0.8488656,0.45047528,0.35243714,0.49521106,0.49263778,0.44366828,0.67557067,0.3396547,0.3509062,0.48104382,0.41700363,0.43252346,0.27269152,0.6302407,0.4456574,0.49621603,0.68453914,0.6138248,0.29369444,0.42326355,0.6432439,0.5190913,0.8165729,0.6769245,0.5163515,0.9053535,0.3407439,0.7752952,0.60035497,0.90059066,0.5371645,0.4548193,0.3313596,0.55309767,0.5445522,0.9197523,0.46377677,0.7010683,0.3809965,0.34463912,0.6940354,0.42633107,0.5542073,0.4131326,0.7415595,0.35038838,0.42773545,0.31418952,0.85791445,0.22824985,0.4549726,0.95294195,0.27256715,0.72890764,0.7547712,0.56653935,0.4224149,0.6827058,0.55603486,0.3442751,0.36664677,0.68595076,0.60363877,0.6989609,0.28984204,0.390459,0.32472754,0.45409533,0.36984396,0.45052975,0.67899764,0.42169437,0.5300626,0.54271555,0.8524909,0.8206591,0.9439077,0.38022798,0.43695346,0.46482843,0.49010655,0.2830707,0.43316543,0.47957313,0.30164155,0.4542206,0.3821389,0.62845844,0.34212,0.48843855,0.8868942,0.36769822,0.32996783,0.48646992,0.70909846,0.7074053,0.4094378,0.49379274,0.33226436,0.43068653,0.62674075,0.41784173,0.45912063,0.36185852,0.43802363,0.41747457,0.37994236,0.53468823,0.7604366
Earthshaker,0.54232186,0.6770176,0.56598574,0.42851964,0.4496909,0.42264295,0.9999999,0.45564917,0.5262592,0.44365576,0.62840366,0.39208823,0.7033606,0.73593324,0.54264843,0.8415498,0.7309523,0.4926429,0.864652,0.6727381,0.61120504,0.6553413,0.80652493,0.62436736,0.59110683,0.5456883,0.7808935,0.66065556,0.65958774,0.46486714,0.704877,0.5314908,0.63079226,0.6779615,0.7701313,0.48993894,0.61889523,0.78519976,0.6547283,0.41745698,0.6051733,0.58103895,0.52433246,0.5187133,0.56648993,0.65958035,0.38982448,0.76455384,0.7058969,0.6170278,0.6924666,0.5463819,0.44453824,0.51243323,0.64180547,0.5853468,0.4463541,0.78703254,0.6650031,0.56880605,0.7570624,0.5047994,0.5665388,0.51704985,0.42392242,0.39769438,0.41058376,0.6329176,0.43388855,0.7200207,0.5578293,0.5883697,0.8243727,0.45773378,0.7658183,0.60379475,0.5930873,0.5089027,0.62461567,0.5041841,0.654759,0.42781895,0.6623378,0.57772136,0.6275435,0.4937456,0.7987256,0.16639559,0.61587304,0.62931776,0.50800544,0.40817624,0.444026,0.47708783,0.641593,0.7834605,0.6721277,0.6114792,0.58771205,0.54859114,0.6374713,0.602962,0.63221437,0.544902,0.78561425,0.9072926,0.6169333,0.39788797,0.53068626,0.5197794,0.69726783,0.6849584,0.73865294,0.50808406,0.73265415,0.5362398,0.5812236,0.747662,0.5538873,0.7336449,0.39461708,0.66245943,0.5717013,0.7624869,0.28521723,0.741706
Juggernaut,0.9489904,0.4655298,0.39270622,0.9168238,0.35419875,0.9291799,0.45564917,1.0,0.40025058,0.89700764,0.6401462,0.9634065,0.50406647,0.56127465,0.60592806,0.44080403,0.5286295,0.9143391,0.43717086,0.36942753,0.4761028,0.4246993,0.43321267,0.5316105,0.36569414,0.3614773,0.48359406,0.4148656,0.4121528,0.24905336,0.6154738,0.37364137,0.4092092,0.5585093,0.58124304,0.23716648,0.41867828,0.57021195,0.5479623,0.8625471,0.7160404,0.36807567,0.9260973,0.34215704,0.73570603,0.50096554,0.9093142,0.5291847,0.34636304,0.44528452,0.44503394,0.3739256,0.9525328,0.414811,0.65206546,0.4850696,0.3047239,0.647969,0.43440104,0.5111312,0.5293991,0.6914776,0.2929652,0.333457,0.2887982,0.85284626,0.18442532,0.465235,0.95572144,0.40016282,0.70275503,0.8299301,0.4786164,0.34941998,0.58963716,0.53415483,0.33888358,0.3707224,0.65322626,0.66809905,0.73666936,0.2456757,0.4871327,0.3600544,0.43016616,0.32954913,0.5285237,0.6936618,0.358751,0.47715822,0.46391827,0.8666097,0.8332604,0.95248336,0.3797239,0.4563806,0.4838214,0.49380025,0.31615943,0.43438825,0.5460274,0.37318355,0.48526543,0.43309698,0.56207395,0.3753665,0.49256214,0.88954115,0.3186721,0.32936892,0.47674027,0.64913106,0.7196382,0.38044968,0.46529028,0.29691938,0.37997213,0.6108791,0.2979944,0.46086657,0.35475644,0.3977316,0.4999799,0.34969723,0.4642769,0.7813014
Mirana,0.46254838,0.33272213,0.6438997,0.31988704,0.63711077,0.49809277,0.5262592,0.40025058,0.99999976,0.4384686,0.61846256,0.2674723,0.51482135,0.54360723,0.5303123,0.43452504,0.5014135,0.34669366,0.5437354,0.64400196,0.6224198,0.6526123,0.2795753,0.64877135,0.71958905,0.6009856,0.4111381,0.33024478,0.7310697,0.6301029,0.3892707,0.6780345,0.572268,0.6798763,0.48141995,0.5486107,0.31279492,0.62514275,0.7779724,0.18375757,0.18051858,0.68955946,0.3432566,0.71704555,0.440721,0.6431908,0.3653661,0.42427427,0.60137075,0.43064737,0.6493282,0.6047141,0.35531098,0.52331245,0.65723354,0.4099001,0.789861,0.5188427,0.2748938,0.43086755,0.50245976,0.45753366,0.64831537,0.6858523,0.6334551,0.21235347,0.45699885,0.40070567,0.35844702,0.26406825,0.58014673,0.36329636,0.5934113,0.7647945,0.611582,0.37174502,0.26288193,0.71688575,0.3792384,0.06582696,0.4425861,0.36876616,0.5426493,0.61805624,0.85984397,0.7637138,0.61557615,0.1378599,0.6953073,0.6492281,0.5841604,0.31780207,0.4164233,0.42439154,0.28642714,0.40454775,0.44743672,0.21114673,0.29024014,0.74588954,0.50953,0.5076343,0.30372006,0.7928847,0.5666087,0.428626,0.36990833,0.35989702,0.7502012,0.61517704,0.8094444,0.5952782,0.5273907,0.65968037,0.39771864,0.6739325,0.8207104,0.4798183,0.80057204,0.42532757,0.5567014,0.3897993,0.37851474,0.29446217,0.25201294,0.53849256
Morphling,0.92373526,0.42506143,0.37265238,0.86436725,0.32666197,0.9291113,0.44365576,0.89700764,0.4384686,1.0000001,0.7839135,0.9056915,0.6896456,0.37026733,0.74341404,0.51380897,0.6523115,0.8226499,0.47130334,0.3245029,0.49159002,0.3987458,0.5543851,0.71694505,0.30482352,0.26857823,0.52854097,0.42276338,0.31129214,0.20466341,0.5121998,0.42799976,0.42567387,0.6792002,0.6574241,0.24005714,0.46548164,0.68094003,0.46505967,0.81042963,0.6872635,0.44672546,0.8787721,0.3707039,0.8964029,0.5951181,0.9219891,0.6469985,0.38680807,0.2762725,0.50981385,0.46385476,0.92975974,0.4600977,0.6923098,0.38982788,0.35980445,0.76744926,0.38623512,0.59621173,0.3691152,0.6518567,0.27711836,0.37675485,0.36318722,0.8577633,0.21481963,0.5138864,0.9254085,0.24279465,0.69594324,0.82785255,0.5761677,0.32027984,0.6953902,0.58588827,0.38871098,0.40801716,0.7426216,0.60828286,0.82660604,0.22051138,0.31443012,0.2769259,0.37857077,0.3035526,0.37824816,0.5989207,0.44538844,0.5141362,0.5113169,0.7554615,0.85822356,0.93788403,0.42034945,0.506839,0.575349,0.5558849,0.19999307,0.33157113,0.44970998,0.31948343,0.41043523,0.39081043,0.6641871,0.3542298,0.5099282,0.88892436,0.35034585,0.30042097,0.43050635,0.7865057,0.75537115,0.33743668,0.5773726,0.32139918,0.3868344,0.70856947,0.2853642,0.48896354,0.27743232,0.38466477,0.30224422,0.4241978,0.43156165,0.798237
